scenario,time,unhappy_agent_fraction,changed_cell_fraction,opinion_dispersion,extreme_agent_fraction,snapshot
schelling,0,0.5833333333333334,0.0,,,True
schelling,1,0.4777777777777778,0.1,,,False
schelling,2,0.4125,0.08222222222222222,,,False
schelling,3,0.37222222222222223,0.051111111111111114,,,False
schelling,4,0.3236111111111111,0.06666666666666667,,,False
schelling,5,0.275,0.07111111111111111,,,False
schelling,6,0.2375,0.05333333333333334,,,False
schelling,7,0.21944444444444444,0.03333333333333333,,,False
schelling,8,0.2013888888888889,0.042222222222222223,,,False
schelling,9,0.18611111111111112,0.02,,,False
schelling,10,0.16111111111111112,0.04,,,False
schelling,11,0.14027777777777778,0.035555555555555556,,,False
schelling,12,0.12916666666666668,0.022222222222222223,,,False
schelling,13,0.12222222222222222,0.024444444444444446,,,False
schelling,14,0.1125,0.015555555555555555,,,False
schelling,15,0.10833333333333334,0.017777777777777778,,,False
schelling,16,0.10416666666666667,0.008888888888888889,,,False
schelling,17,0.09027777777777778,0.022222222222222223,,,False
schelling,18,0.0875,0.017777777777777778,,,False
schelling,19,0.08194444444444444,0.013333333333333334,,,False
schelling,20,0.07222222222222222,0.017777777777777778,,,True
schelling,21,0.06388888888888888,0.017777777777777778,,,False
schelling,22,0.06111111111111111,0.0044444444444444444,,,False
schelling,23,0.05555555555555555,0.013333333333333334,,,False
schelling,24,0.05277777777777778,0.006666666666666667,,,False
schelling,25,0.05,0.008888888888888889,,,False
schelling,26,0.043055555555555555,0.008888888888888889,,,False
schelling,27,0.044444444444444446,0.0022222222222222222,,,False
schelling,28,0.041666666666666664,0.0044444444444444444,,,False
schelling,29,0.034722222222222224,0.006666666666666667,,,False
schelling,30,0.034722222222222224,0.0044444444444444444,,,False
schelling,31,0.03194444444444444,0.0044444444444444444,,,False
schelling,32,0.030555555555555555,0.0044444444444444444,,,False
schelling,33,0.029166666666666667,0.0044444444444444444,,,False
schelling,34,0.027777777777777776,0.0022222222222222222,,,False
schelling,35,0.027777777777777776,0.0022222222222222222,,,False
schelling,36,0.02638888888888889,0.0022222222222222222,,,False
schelling,37,0.025,0.0044444444444444444,,,False
schelling,38,0.019444444444444445,0.006666666666666667,,,False
schelling,39,0.018055555555555554,0.0022222222222222222,,,False
schelling,40,0.016666666666666666,0.0022222222222222222,,,False
schelling,41,0.016666666666666666,0.0,,,False
schelling,42,0.015277777777777777,0.0044444444444444444,,,False
schelling,43,0.013888888888888888,0.0044444444444444444,,,False
schelling,44,0.013888888888888888,0.0,,,False
schelling,45,0.0125,0.0022222222222222222,,,False
schelling,46,0.0125,0.0,,,False
schelling,47,0.0125,0.0022222222222222222,,,False
schelling,48,0.011111111111111112,0.0022222222222222222,,,False
schelling,49,0.009722222222222222,0.0022222222222222222,,,False
schelling,50,0.009722222222222222,0.0,,,False
schelling,51,0.008333333333333333,0.0044444444444444444,,,False
schelling,52,0.006944444444444444,0.0022222222222222222,,,False
schelling,53,0.006944444444444444,0.0022222222222222222,,,False
schelling,54,0.006944444444444444,0.0,,,False
schelling,55,0.006944444444444444,0.0,,,False
schelling,56,0.006944444444444444,0.0,,,False
schelling,57,0.006944444444444444,0.0,,,False
schelling,58,0.006944444444444444,0.0,,,False
schelling,59,0.006944444444444444,0.0,,,False
schelling,60,0.006944444444444444,0.0,,,True
schelling,61,0.005555555555555556,0.0022222222222222222,,,False
schelling,62,0.005555555555555556,0.0,,,False
schelling,63,0.005555555555555556,0.0,,,False
schelling,64,0.005555555555555556,0.0,,,False
schelling,65,0.005555555555555556,0.0,,,False
schelling,66,0.004166666666666667,0.0022222222222222222,,,False
schelling,67,0.004166666666666667,0.0,,,False
schelling,68,0.004166666666666667,0.0,,,False
schelling,69,0.004166666666666667,0.0,,,False
schelling,70,0.004166666666666667,0.0022222222222222222,,,False
schelling,71,0.004166666666666667,0.0,,,False
schelling,72,0.001388888888888889,0.0044444444444444444,,,False
schelling,73,0.002777777777777778,0.0022222222222222222,,,False
schelling,74,0.002777777777777778,0.0,,,False
schelling,75,0.002777777777777778,0.0,,,False
schelling,76,0.002777777777777778,0.0,,,False
