evaluation_track,scenario,method,indicator_count,candidate_edge_count,retained_edge_count,temporal_qualification_rate,temporal_metric_reason,stability,lag_support,lag_std,representation_agreement,runtime_seconds,edge_f1,shd,lag_mae,direction_accuracy,reference_metric_reason,intervention_support_rate,contradiction_rate,intervention_metric_reason,mean_ci_width
full_discovery,deffuant,full_method,28,28,16,0.5714285714285714,temporally_qualified,0.93,0.7581249999999999,0.7480202113914308,0.4489550753478866,48.52812679999988,,,,,not_applicable_without_generated_to_hidden_alignment,0.5625,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021
full_discovery,deffuant,llm_semantic_proposal,28,28,28,,not_temporally_qualified,,,,0.4489550753478866,0.0,,,,,not_applicable_without_generated_to_hidden_alignment,,,not_applicable_semantic_proposal,
full_discovery,deffuant,single_trajectory,28,28,9,0.3214285714285714,temporally_qualified,,,,0.4489550753478866,0.0082681000003503,,,,,not_applicable_without_generated_to_hidden_alignment,0.5555555555555556,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021
full_discovery,deffuant,trajectory_vote,28,28,7,0.25,temporally_qualified,0.6845238095238095,0.2797619047619047,1.5811593786951776,0.4489550753478866,0.231437200000073,,,,,not_applicable_without_generated_to_hidden_alignment,0.5714285714285714,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021
full_discovery,deffuant,unrestricted_temporal_search,28,756,265,0.3505291005291005,temporally_qualified,0.8733962264150943,0.5193584905660377,1.113225163551152,0.4489550753478866,81.32157390000066,,,,,not_applicable_without_generated_to_hidden_alignment,0.5294117647058824,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.2643817368863021
full_discovery,schelling,full_method,28,29,28,0.9655172413793104,temporally_qualified,0.9732142857142856,0.5792857142857143,1.089503944014692,0.4482727391322191,48.6935169999997,,,,,not_applicable_without_generated_to_hidden_alignment,0.5357142857142857,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217
full_discovery,schelling,llm_semantic_proposal,28,29,29,,not_temporally_qualified,,,,0.4482727391322191,0.0,,,,,not_applicable_without_generated_to_hidden_alignment,,,not_applicable_semantic_proposal,
full_discovery,schelling,single_trajectory,28,29,24,0.8275862068965517,temporally_qualified,,,,0.4482727391322191,0.0099736000011034,,,,,not_applicable_without_generated_to_hidden_alignment,0.5416666666666666,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217
full_discovery,schelling,trajectory_vote,28,29,26,0.896551724137931,temporally_qualified,0.8125,0.3253205128205128,1.374688669381224,0.4482727391322191,0.2424479000001156,,,,,not_applicable_without_generated_to_hidden_alignment,0.5384615384615384,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217
full_discovery,schelling,unrestricted_temporal_search,28,756,497,0.6574074074074074,temporally_qualified,0.9432193158953722,0.4545271629778672,1.1912136745046338,0.4482727391322191,87.25681689999874,,,,,not_applicable_without_generated_to_hidden_alignment,0.5277777777777778,0.0,applicable_edges_after_frozen_attempt_aggregation;directional_contradiction_precedes_support,0.30057473897761217
