scenario,operator,error_ratio,repetition,candidate_set_sha256,evaluation_track,candidate_edge_count,retained_edge_count,temporal_qualification_rate,stability,lag_support,lag_std,edge_f1,shd,lag_mae,direction_accuracy,reference_metric_reason
deffuant,cross_hypothesis_group_relation,0.1,7,6bcefb7f27e8c30be1e9732151cf38c916fa55e71b26e3774992e9e1c746363f,full_discovery,31,18,0.5806451612903226,0.9407407407407408,0.7444444444444445,0.7948600704164243,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.1,8,75ac9f0ba2659299433c82688674da2c17c373436d1ddfaa856c4bae1948824b,full_discovery,31,20,0.6451612903225806,0.9316666666666666,0.73,0.8332389095647625,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.1,9,87c7d1899bc9cd4d0a54c63b0eb6bebaa5a70f1a3433bb77388d9b90064c284c,full_discovery,31,14,0.45161290322580644,0.9547619047619048,0.719047619047619,0.8117214053384626,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.1,10,f026a4236ad59880748fe78a62780e5cb89aa34f5485f5086856c5a8fb36eb43,full_discovery,31,19,0.6129032258064516,0.9438596491228071,0.7192982456140351,0.7729534207554094,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.1,11,008d6c46162b71daa96095efeb631102125a12ec5733f430952741c0bd30202f,full_discovery,31,20,0.6451612903225806,0.925,0.72,0.7294275156255264,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,0,fc054533f7de1b0dfcf8783fa8ca11a19852a0c59a5c8e08d74760066277791a,full_discovery,34,18,0.5294117647058824,0.9500000000000001,0.7944444444444444,0.7176316167027186,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,1,5f041dfd43c9d3699990c1508b5e09e37af36a5c459b1a29e079e0a0706d4abe,full_discovery,34,20,0.5882352941176471,0.9533333333333334,0.7466666666666666,0.7407730431375746,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,2,6428771df3bccfbd762aa0a2281fe3d7797696a7a6ef9ff3705e9202472bc386,full_discovery,34,18,0.5294117647058824,0.9481481481481482,0.7703703703703704,0.6351487022283244,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,3,cb50678edcc71b8b36e27a437447cce09698a3b5a08c425bfc8dc1fb1070d10e,full_discovery,34,22,0.6470588235294118,0.9409090909090907,0.7030303030303031,0.7664150894584995,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,4,b0f9de8f3f970040ccc21a3957ace15c4ef5cbe57a34a522ff0700d48c1612f5,full_discovery,34,20,0.5882352941176471,0.9349999999999999,0.7216666666666667,0.7939189801615971,,,,,not_applicable_without_generated_to_hidden_alignment
