scenario,evaluation_track,method,hypothesis_group_id,source,target,edge_class,attempt_count,applicable_attempt_count,supported_attempt_count,contradiction_attempt_count
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,micro_extreme_agent_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,micro_opinion_p25,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,micro_opinion_std,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,micro_rejected_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_network_assortativity,micro_sign_flip_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,meso_neighborhood_abs_opinion_std,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,meso_neighborhood_abs_opinion_variance,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_accepted_count,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_accepted_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_edge_rewired_count,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_mean_interaction_distance,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_opinion_p25,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_rejected_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_mean,micro_rewiring_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_variance,micro_accepted_count,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_variance,micro_accepted_fraction,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,macro_opinion_global_variance,micro_mean_interaction_distance,not_applicable,1,0,0,0
deffuant,primary_discovery,unrestricted_temporal_search,unrestricted,meso_neighborhood_abs_opinion_std,meso_neighborhood_agent_shift_std,not_applicable,1,0,0,0
