scenario	path_id	parameter	direction	hypothesis_group_id	micro	meso	macro	path_temporally_qualified	manipulation_success	micro_significant	meso_significant	macro_significant	micro_meso_class	meso_macro_class	direction_supported	onset_order_supported	path_classification	reason	micro_semantic_name	meso_semantic_name	macro_semantic_name	row	path_code	row_label	parameter_label	holdout_classification	holdout_confirmed	display_holdout_star	root_manipulation_display	micro_meso_scope	micro_meso_display	meso_macro_scope	meso_macro_display	parameter_marker
schelling	tol_plus_unhappy_to_dest_std_to_components	tolerance	plus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_destination_similarity_std	macro_global_connected_components	True	True	True	True	False	supported	no_stable_downstream_effect	True	True	inconclusive	required_multiscale_response_not_stable	Fraction of unsatisfied agents	Between-district standard deviation of destination similarity	Count of same-group spatial components	12	S13	S13  Tol+	Tol+	not_evaluated	False	False	supported	direct_root	supported	upstream_mediated	inconclusive	s
schelling	tol_plus_unhappy_to_group_entropy_to_components	tolerance	plus	macro_outcome_macro_global_connected_components	unhappy_fraction	meso_district_group_entropy_mean	macro_global_connected_components	True	True	True	False	False	no_stable_downstream_effect	no_stable_downstream_effect	True	False	inconclusive	required_multiscale_response_not_stable	Fraction of unsatisfied agents	Mean district group-composition entropy	Count of same-group spatial components	13	S14	S14  Tol+	Tol+	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
schelling	tol_plus_unhappy_to_move_std_to_global_moved	tolerance	plus	macro_outcome_macro_global_moved_fraction	unhappy_fraction	meso_district_move_fraction_std	macro_global_moved_fraction	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Fraction of unsatisfied agents	Between-district standard deviation of moving fraction	Global relocation fraction	14	S15	S15  Tol+	Tol+	inconclusive	False	False	supported	direct_root	supported	upstream_mediated	supported	s
deffuant	as_minus_shift_ovar_gvar	assimilation_strength	minus	macro_outcome_macro_opinion_global_variance	micro_mean_abs_agent_shift	meso_neighborhood_opinion_variance	macro_opinion_global_variance	True	False	False	True	False	manipulation_failure	manipulation_failure	True	True	manipulation_failure	required_micro_manipulation_failed	Mean absolute opinion update	Mean neighborhood opinion variance	Whole-system opinion variance	0	D01	D01  AS−	AS−	not_evaluated	False	False	manipulation_failure	direct_root	manipulation_failure	upstream_mediated	manipulation_failure	s
deffuant	as_plus_shift_diststd_assort	assimilation_strength	plus	macro_outcome_macro_network_assortativity	micro_mean_abs_agent_shift	meso_neighborhood_interaction_distance_std	macro_network_assortativity	True	True	True	False	False	no_stable_downstream_effect	no_stable_downstream_effect	True	False	inconclusive	required_multiscale_response_not_stable	Mean absolute opinion update	Mean neighborhood interaction distance standard deviation	Network opinion assortativity	1	D02	D02  AS+	AS+	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
deffuant	as_plus_shift_ostd_gvar	assimilation_strength	plus	macro_outcome_macro_opinion_global_variance	micro_mean_abs_agent_shift	meso_neighborhood_opinion_std	macro_opinion_global_variance	True	True	True	False	False	no_stable_downstream_effect	no_stable_downstream_effect	True	False	inconclusive	required_multiscale_response_not_stable	Mean absolute opinion update	Mean neighborhood opinion standard deviation	Whole-system opinion variance	2	D03	D03  AS+	AS+	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
deffuant	bt_plus_backfire_shiftstd_gmean	backfire_threshold	plus	macro_outcome_macro_opinion_global_mean	micro_backfire_fraction	meso_neighborhood_agent_shift_std	macro_opinion_global_mean	True	True	True	False	False	no_stable_downstream_effect	no_stable_downstream_effect	True	False	inconclusive	required_multiscale_response_not_stable	Backfire encounter fraction	Mean neighborhood opinion shift standard deviation	Whole-system mean opinion	3	D04	D04  BT+	BT+	not_evaluated	False	False	supported	direct_root	inconclusive	upstream_mediated	inconclusive	s
deffuant	cb_minus_accept_absovar_assort	confidence_bound	minus	macro_outcome_macro_network_assortativity	micro_accepted_fraction	meso_neighborhood_abs_opinion_variance	macro_network_assortativity	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Assimilation encounter fraction	Mean neighborhood absolute opinion variance	Network opinion assortativity	4	D05	D05  CB−	CB−	confirmed	True	True	supported	direct_root	supported	upstream_mediated	supported	s
deffuant	cb_minus_accept_ovar_gvar	confidence_bound	minus	macro_outcome_macro_opinion_global_variance	micro_accepted_fraction	meso_neighborhood_opinion_variance	macro_opinion_global_variance	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Assimilation encounter fraction	Mean neighborhood opinion variance	Whole-system opinion variance	5	D06	D06  CB−	CB−	confirmed	True	True	supported	direct_root	supported	upstream_mediated	supported	s
deffuant	cb_plus_accept_ostd_gvar	confidence_bound	plus	macro_outcome_macro_opinion_global_variance	micro_accepted_fraction	meso_neighborhood_opinion_std	macro_opinion_global_variance	True	True	True	True	True	supported	supported	True	True	supported	all_stage3_v2_hard_criteria_supported	Assimilation encounter fraction	Mean neighborhood opinion standard deviation	Whole-system opinion variance	6	D07	D07  CB+	CB+	inconclusive	False	False	supported	direct_root	supported	upstream_mediated	supported	s
