parameter	direction	node_id	evaluation_track	scenario	scale	baseline_sd	cumulative_effect_raw	cumulative_effect_standardised	cumulative_effect	cumulative_ci_low_raw	cumulative_ci_high_raw	cumulative_ci_low_standardised	cumulative_ci_high_standardised	ci_width	peak_time	onset_time	onset_ci_low	onset_ci_high	terminal_effect_standardised	significant	effect_sign	paired_seed_sign_consistency	paired	saved_significant	ci_excludes_zero	row	column	code	display_na	display_significance_dot
destination_preference	minus	boundary_fraction	primary_discovery	schelling	micro	0.0864639518203011	0.05428839399744573	0.6278731523892619	0.6278731523892619	0.04419936342592593	0.06502383660600256	0.5111883333505957	0.7520340585535836	0.24084572520298797	25	2	2.0	2.0	0.08051127846824445	True	1	1.0	True	True	True	0	0	Mi01	False	True
destination_preference	minus	local_similarity_entropy	primary_discovery	schelling	micro	0.16259623167181467	0.08912572777095136	0.5481414105023253	0.5481414105023253	0.06299956186011985	0.11451253522390256	0.3874601595151269	0.704275456119029	0.31681529660390206	31	5	4.0	5.0	0.002534093300182021	True	1	0.875	True	True	True	0	1	Mi02	False	True
destination_preference	minus	mean_destination_similarity_movers	primary_discovery	schelling	micro	0.36592709142147856	0.09735029114484033	0.2660373976867192	0.2660373976867192	0.08053529080930175	0.11335324951698446	0.22008562005194743	0.30977003937219566	0.08968441932024823	71	0	0.0	0.0	0.17357792604813582	True	1	1.0	True	True	True	0	2	Mi03	False	True
destination_preference	minus	mean_local_similarity	primary_discovery	schelling	micro	0.029033925723369405	-0.020537368285244908	-0.7073576091955895	-0.7073576091955895	-0.023323267735540866	-0.017722394122560138	-0.8033108563327339	-0.6104029572651066	0.1929078990676273	18	1	1.0	1.0	-0.09553724414881377	True	-1	1.0	True	True	True	0	3	Mi04	False	True
destination_preference	minus	mean_move_distance	primary_discovery	schelling	micro	0.2504695415770918	0.11732951249486386	0.4684382450500519	0.4684382450500519	0.10054805117333467	0.13324969524397656	0.4014382369218617	0.5319995972562747	0.13056136033441296	63	51	26.0	45.0	0.20967564120297857	True	1	1.0	True	True	True	0	4	Mi05	False	True
destination_preference	minus	mean_neighbour_count	primary_discovery	schelling	micro	0.032988165455567514	-0.006385696040868495	-0.19357536112365903	-0.19357536112365903	-0.022902977330779107	0.008392261334610452	-0.6942786000521195	0.25440218389574204	0.9486807839478615	21	8	2.0	8.0	0.25831724557446706	False	-1	0.5833333333333334	True	False	False	0	5	Mi06	False	False
destination_preference	minus	move_distance_std	primary_discovery	schelling	micro	0.0168366801564847	0.009561706904051611	0.5679092799282577	0.5679092799282577	0.008652387957312616	0.010475898551108682	0.5139010705729966	0.6222068990883488	0.1083058285153522	46	5	0.0	4.0	0.1180750673342071	True	1	1.0	True	True	True	0	6	Mi07	False	True
destination_preference	minus	moved_fraction	primary_discovery	schelling	micro	0.0027006126711664885	0.0017085727969348658	0.6326611791378708	0.6326611791378708	0.0016005647349936142	0.0018215996168582374	0.592667268461817	0.6745134673723593	0.08184619891054223	23	1	1.0	1.0	0.05892867208157581	True	1	1.0	True	True	True	0	7	Mi08	False	True
destination_preference	minus	quantile_25_local_similarity	primary_discovery	schelling	micro	0.06742858603852442	-0.03884099494109209	-0.5760315798243316	-0.5760315798243316	-0.054114781442023384	-0.024714580355105042	-0.8025495508849263	-0.3665297139848773	0.436019836900049	30	2	1.0	2.0	-0.3093520002174574	True	-1	0.9166666666666666	True	True	True	0	8	Mi09	False	True
destination_preference	minus	quantile_75_local_similarity	primary_discovery	schelling	micro	0.0	-0.0018678160705443085	NA	NA	-0.0027273514074669485	-0.0010789652447077056	NA	NA	NA	-1	-1	NA	NA	NA	False	0	NA	True	False	False	0	9	Mi10	True	False
destination_preference	minus	relocation_response_fraction	primary_discovery	schelling	micro	0.13816809961797205	0.0321627655616584	0.2327799662193144	0.2327799662193144	0.025873734813566866	0.039041332932005	0.18726272479035652	0.28256401470348325	0.09530128991312672	151	104	30.47500000000001	89.0	0.40439032415645143	True	1	0.9583333333333334	True	True	True	0	10	Mi11	False	True
destination_preference	minus	std_destination_similarity	primary_discovery	schelling	micro	0.024247064045500456	0.009466088194287672	0.3904014183541656	0.3904014183541656	0.00866372688752385	0.0103358830530638	0.3573103478122574	0.4262735906362996	0.0689632428240422	46	0	0.0	0.0	0.10082709369785164	True	1	1.0	True	True	True	0	11	Mi12	False	True
destination_preference	minus	std_local_similarity	primary_discovery	schelling	micro	0.024822544438355097	0.016890879788960533	0.6804652855354031	0.6804652855354031	0.01506808128143693	0.018531729751213012	0.6070321001482085	0.7465684993428116	0.13953639919460303	35	1	1.0	1.0	0.15901393504966113	True	1	1.0	True	True	True	0	12	Mi13	False	True
destination_preference	minus	std_neighbour_count	primary_discovery	schelling	micro	0.051934519970115986	-0.012202987574365795	-0.23496871794304833	-0.23496871794304833	-0.034552492105022176	0.010851107316438798	-0.6653087796884284	0.20893824228437483	0.8742470219728032	16	5	1.0	5.0	-0.029773050098716048	False	-1	0.625	True	False	False	0	13	Mi14	False	False
