panel	scenario	path_id	path_classification	x_field	y_field	x	y	plotted	source_file
b	schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	inconclusive	meso_macro_observational_lag	meso_macro_intervention_delay	2.0	NA	False	analysis/path_timing_concordance.csv
b	schelling	move_plus_response_to_move_std_to_global_moved	manipulation_failure	meso_macro_observational_lag	meso_macro_intervention_delay	4.0	0.0	True	analysis/path_timing_concordance.csv
b	schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	supported	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	1.0	True	analysis/path_timing_concordance.csv
b	schelling	tol_minus_unhappy_to_unhappy_std_to_components	supported	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	2.0	True	analysis/path_timing_concordance.csv
b	schelling	tol_plus_unhappy_to_dest_std_to_components	inconclusive	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	76.0	True	analysis/path_timing_concordance.csv
b	schelling	tol_plus_unhappy_to_group_entropy_to_components	inconclusive	meso_macro_observational_lag	meso_macro_intervention_delay	1.0	NA	False	analysis/path_timing_concordance.csv
b	schelling	tol_plus_unhappy_to_move_std_to_global_moved	supported	meso_macro_observational_lag	meso_macro_intervention_delay	4.0	0.0	True	analysis/path_timing_concordance.csv
c	deffuant	as_minus_shift_ovar_gvar	manipulation_failure	observational_total_lag	intervention_total_latency	2.0	9.0	True	analysis/path_timing_concordance.csv
c	deffuant	as_plus_shift_diststd_assort	inconclusive	observational_total_lag	intervention_total_latency	6.0	NA	False	analysis/path_timing_concordance.csv
c	deffuant	as_plus_shift_ostd_gvar	inconclusive	observational_total_lag	intervention_total_latency	2.0	NA	False	analysis/path_timing_concordance.csv
c	deffuant	bt_plus_backfire_shiftstd_gmean	inconclusive	observational_total_lag	intervention_total_latency	2.0	NA	False	analysis/path_timing_concordance.csv
c	deffuant	cb_minus_accept_absovar_assort	supported	observational_total_lag	intervention_total_latency	4.0	16.0	True	analysis/path_timing_concordance.csv
