scenario	operator	error_ratio	repetition	evaluation_track	candidate_edge_count	retained_edge_count	temporal_qualification_rate	stability
deffuant	delete_candidate_relation	0.4	6	full_discovery	17	9	0.5294117647058824	0.977777777777778
deffuant	delete_candidate_relation	0.4	7	full_discovery	17	11	0.6470588235294118	0.981818181818182
deffuant	delete_candidate_relation	0.4	8	full_discovery	17	12	0.7058823529411765	0.9611111111111112
deffuant	delete_candidate_relation	0.4	9	full_discovery	17	13	0.7647058823529411	0.9128205128205128
deffuant	delete_candidate_relation	0.4	10	full_discovery	17	10	0.5882352941176471	0.9666666666666666
deffuant	delete_candidate_relation	0.4	11	full_discovery	17	12	0.7058823529411765	0.977777777777778
deffuant	irrelevant_indicator	0.0	0	full_discovery	28	16	0.5714285714285714	0.95
deffuant	irrelevant_indicator	0.0	1	full_discovery	28	16	0.5714285714285714	0.9479166666666669
deffuant	irrelevant_indicator	0.0	2	full_discovery	28	16	0.5714285714285714	0.9333333333333332
deffuant	irrelevant_indicator	0.0	3	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	irrelevant_indicator	0.0	4	full_discovery	28	15	0.5357142857142857	0.96
deffuant	irrelevant_indicator	0.0	5	full_discovery	28	16	0.5714285714285714	0.9291666666666668
deffuant	irrelevant_indicator	0.0	6	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	irrelevant_indicator	0.0	7	full_discovery	28	16	0.5714285714285714	0.9354166666666668
deffuant	irrelevant_indicator	0.0	8	full_discovery	28	16	0.5714285714285714	0.9520833333333334
deffuant	irrelevant_indicator	0.0	9	full_discovery	28	16	0.5714285714285714	0.9208333333333334
deffuant	irrelevant_indicator	0.0	10	full_discovery	28	15	0.5357142857142857	0.9555555555555556
deffuant	irrelevant_indicator	0.0	11	full_discovery	28	16	0.5714285714285714	0.94375
deffuant	irrelevant_indicator	0.1	0	full_discovery	31	17	0.5483870967741935	0.9470588235294118
deffuant	irrelevant_indicator	0.1	1	full_discovery	31	16	0.5161290322580645	0.9645833333333332
deffuant	irrelevant_indicator	0.1	2	full_discovery	31	18	0.5806451612903226	0.9092592592592592
deffuant	irrelevant_indicator	0.1	3	full_discovery	31	16	0.5161290322580645	0.93125
deffuant	irrelevant_indicator	0.1	4	full_discovery	31	17	0.5483870967741935	0.923529411764706
deffuant	irrelevant_indicator	0.1	5	full_discovery	31	17	0.5483870967741935	0.9470588235294118
deffuant	irrelevant_indicator	0.1	6	full_discovery	31	17	0.5483870967741935	0.9372549019607844
deffuant	irrelevant_indicator	0.1	7	full_discovery	31	18	0.5806451612903226	0.924074074074074
deffuant	irrelevant_indicator	0.1	8	full_discovery	31	17	0.5483870967741935	0.9568627450980391
deffuant	irrelevant_indicator	0.1	9	full_discovery	31	16	0.5161290322580645	0.9416666666666668
deffuant	irrelevant_indicator	0.1	10	full_discovery	31	16	0.5161290322580645	0.9458333333333332
deffuant	irrelevant_indicator	0.1	11	full_discovery	31	16	0.5161290322580645	0.9354166666666668
deffuant	irrelevant_indicator	0.2	0	full_discovery	34	18	0.5294117647058824	0.9296296296296296
deffuant	irrelevant_indicator	0.2	1	full_discovery	34	18	0.5294117647058824	0.9351851851851852
deffuant	irrelevant_indicator	0.2	2	full_discovery	34	15	0.4411764705882353	0.9666666666666668
deffuant	irrelevant_indicator	0.2	3	full_discovery	34	15	0.4411764705882353	0.9466666666666668
deffuant	irrelevant_indicator	0.2	4	full_discovery	34	17	0.5	0.9411764705882352
deffuant	irrelevant_indicator	0.2	5	full_discovery	34	16	0.4705882352941176	0.95
deffuant	irrelevant_indicator	0.2	6	full_discovery	34	18	0.5294117647058824	0.9314814814814816
deffuant	irrelevant_indicator	0.2	7	full_discovery	34	16	0.4705882352941176	0.925
deffuant	irrelevant_indicator	0.2	8	full_discovery	34	16	0.4705882352941176	0.93125
deffuant	irrelevant_indicator	0.2	9	full_discovery	34	17	0.5	0.9372549019607844
deffuant	irrelevant_indicator	0.2	10	full_discovery	34	17	0.5	0.9470588235294118
deffuant	irrelevant_indicator	0.2	11	full_discovery	34	15	0.4411764705882353	0.9311111111111112
deffuant	irrelevant_indicator	0.4	0	full_discovery	39	18	0.4615384615384615	0.9351851851851852
deffuant	irrelevant_indicator	0.4	1	full_discovery	39	17	0.4358974358974359	0.9254901960784312
deffuant	irrelevant_indicator	0.4	2	full_discovery	39	17	0.4358974358974359	0.9254901960784314
deffuant	irrelevant_indicator	0.4	3	full_discovery	39	16	0.4102564102564102	0.9416666666666668
deffuant	irrelevant_indicator	0.4	4	full_discovery	39	18	0.4615384615384615	0.9462962962962964
deffuant	irrelevant_indicator	0.4	5	full_discovery	39	19	0.4871794871794871	0.924561403508772
deffuant	irrelevant_indicator	0.4	6	full_discovery	39	18	0.4615384615384615	0.9259259259259258
deffuant	irrelevant_indicator	0.4	7	full_discovery	39	19	0.4871794871794871	0.9456140350877192
deffuant	irrelevant_indicator	0.4	8	full_discovery	39	19	0.4871794871794871	0.9210526315789472
deffuant	irrelevant_indicator	0.4	9	full_discovery	39	18	0.4615384615384615	0.9203703703703704
deffuant	irrelevant_indicator	0.4	10	full_discovery	39	19	0.4871794871794871	0.9087719298245612
deffuant	irrelevant_indicator	0.4	11	full_discovery	39	21	0.5384615384615384	0.9079365079365076
deffuant	redundant_semantic_indicator	0.0	0	full_discovery	28	16	0.5714285714285714	0.9354166666666668
deffuant	redundant_semantic_indicator	0.0	1	full_discovery	28	16	0.5714285714285714	0.9354166666666668
deffuant	redundant_semantic_indicator	0.0	2	full_discovery	28	16	0.5714285714285714	0.9541666666666668
deffuant	redundant_semantic_indicator	0.0	3	full_discovery	28	16	0.5714285714285714	0.9333333333333332
deffuant	redundant_semantic_indicator	0.0	4	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	redundant_semantic_indicator	0.0	5	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	redundant_semantic_indicator	0.0	6	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	redundant_semantic_indicator	0.0	7	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	redundant_semantic_indicator	0.0	8	full_discovery	28	16	0.5714285714285714	0.9541666666666668
deffuant	redundant_semantic_indicator	0.0	9	full_discovery	28	16	0.5714285714285714	0.9458333333333332
deffuant	redundant_semantic_indicator	0.0	10	full_discovery	28	16	0.5714285714285714	0.9125
deffuant	redundant_semantic_indicator	0.0	11	full_discovery	28	16	0.5714285714285714	0.9583333333333334
deffuant	redundant_semantic_indicator	0.1	0	full_discovery	31	18	0.5806451612903226	0.9537037037037036
deffuant	redundant_semantic_indicator	0.1	1	full_discovery	31	16	0.5161290322580645	0.9541666666666668
deffuant	redundant_semantic_indicator	0.1	2	full_discovery	31	18	0.5806451612903226	0.9370370370370372
deffuant	redundant_semantic_indicator	0.1	3	full_discovery	31	18	0.5806451612903226	0.9388888888888888
deffuant	redundant_semantic_indicator	0.1	4	full_discovery	31	18	0.5806451612903226	0.9481481481481482
deffuant	redundant_semantic_indicator	0.1	5	full_discovery	31	16	0.5161290322580645	0.9291666666666668
deffuant	redundant_semantic_indicator	0.1	6	full_discovery	31	17	0.5483870967741935	0.931372549019608
deffuant	redundant_semantic_indicator	0.1	7	full_discovery	31	19	0.6129032258064516	0.9298245614035088
deffuant	redundant_semantic_indicator	0.1	8	full_discovery	31	19	0.6129032258064516	0.970175438596491
deffuant	redundant_semantic_indicator	0.1	9	full_discovery	31	19	0.6129032258064516	0.9210526315789472
deffuant	redundant_semantic_indicator	0.1	10	full_discovery	31	18	0.5806451612903226	0.9166666666666666
deffuant	redundant_semantic_indicator	0.1	11	full_discovery	31	19	0.6129032258064516	0.9421052631578944
deffuant	redundant_semantic_indicator	0.2	0	full_discovery	34	20	0.5882352941176471	0.9133333333333332
deffuant	redundant_semantic_indicator	0.2	1	full_discovery	34	20	0.5882352941176471	0.93
deffuant	redundant_semantic_indicator	0.2	2	full_discovery	34	19	0.5588235294117647	0.9315789473684208
deffuant	redundant_semantic_indicator	0.2	3	full_discovery	34	20	0.5882352941176471	0.9566666666666668
deffuant	redundant_semantic_indicator	0.2	4	full_discovery	34	19	0.5588235294117647	0.9456140350877194
deffuant	redundant_semantic_indicator	0.2	5	full_discovery	34	19	0.5588235294117647	0.9561403508771932
deffuant	redundant_semantic_indicator	0.2	6	full_discovery	34	19	0.5588235294117647	0.950877192982456
deffuant	redundant_semantic_indicator	0.2	7	full_discovery	34	19	0.5588235294117647	0.9192982456140352
deffuant	redundant_semantic_indicator	0.2	8	full_discovery	34	18	0.5294117647058824	0.9462962962962962
deffuant	redundant_semantic_indicator	0.2	9	full_discovery	34	17	0.5	0.9529411764705882
deffuant	redundant_semantic_indicator	0.2	10	full_discovery	34	18	0.5294117647058824	0.938888888888889
deffuant	redundant_semantic_indicator	0.2	11	full_discovery	34	18	0.5294117647058824	0.9499999999999998
deffuant	redundant_semantic_indicator	0.4	0	full_discovery	39	24	0.6153846153846154	0.9583333333333334
deffuant	redundant_semantic_indicator	0.4	1	full_discovery	39	24	0.6153846153846154	0.9277777777777776
deffuant	redundant_semantic_indicator	0.4	2	full_discovery	39	21	0.5384615384615384	0.9365079365079364
deffuant	redundant_semantic_indicator	0.4	3	full_discovery	39	23	0.5897435897435898	0.9492753623188408
deffuant	redundant_semantic_indicator	0.4	4	full_discovery	39	23	0.5897435897435898	0.9434782608695652
deffuant	redundant_semantic_indicator	0.4	5	full_discovery	39	21	0.5384615384615384	0.9365079365079362
deffuant	redundant_semantic_indicator	0.4	6	full_discovery	39	22	0.5641025641025641	0.9136363636363636
deffuant	redundant_semantic_indicator	0.4	7	full_discovery	39	23	0.5897435897435898	0.9391304347826088
deffuant	redundant_semantic_indicator	0.4	8	full_discovery	39	22	0.5641025641025641	0.9469696969696968
deffuant	redundant_semantic_indicator	0.4	9	full_discovery	39	22	0.5641025641025641	0.9393939393939394
deffuant	redundant_semantic_indicator	0.4	10	full_discovery	39	23	0.5897435897435898	0.9333333333333332
deffuant	redundant_semantic_indicator	0.4	11	full_discovery	39	20	0.5128205128205128	0.9399999999999998
deffuant	wrong_hypothesis_group_assignment	0.0	0	full_discovery	28	16	0.5714285714285714	0.9583333333333334
deffuant	wrong_hypothesis_group_assignment	0.0	1	full_discovery	28	16	0.5714285714285714	0.9333333333333332
deffuant	wrong_hypothesis_group_assignment	0.0	2	full_discovery	28	16	0.5714285714285714	0.9395833333333334
deffuant	wrong_hypothesis_group_assignment	0.0	3	full_discovery	28	16	0.5714285714285714	0.9416666666666668
deffuant	wrong_hypothesis_group_assignment	0.0	4	full_discovery	28	16	0.5714285714285714	0.9416666666666668
deffuant	wrong_hypothesis_group_assignment	0.0	5	full_discovery	28	16	0.5714285714285714	0.9354166666666668
deffuant	wrong_hypothesis_group_assignment	0.0	6	full_discovery	28	15	0.5357142857142857	0.9555555555555556
deffuant	wrong_hypothesis_group_assignment	0.0	7	full_discovery	28	16	0.5714285714285714	0.94375
deffuant	wrong_hypothesis_group_assignment	0.0	8	full_discovery	28	16	0.5714285714285714	0.95625
deffuant	wrong_hypothesis_group_assignment	0.0	9	full_discovery	28	16	0.5714285714285714	0.94375
deffuant	wrong_hypothesis_group_assignment	0.0	10	full_discovery	28	16	0.5714285714285714	0.9270833333333334
deffuant	wrong_hypothesis_group_assignment	0.0	11	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	wrong_hypothesis_group_assignment	0.1	0	full_discovery	28	16	0.5714285714285714	0.9479166666666669
deffuant	wrong_hypothesis_group_assignment	0.1	1	full_discovery	28	15	0.5357142857142857	0.9288888888888888
deffuant	wrong_hypothesis_group_assignment	0.1	2	full_discovery	28	14	0.5	0.973809523809524
deffuant	wrong_hypothesis_group_assignment	0.1	3	full_discovery	28	15	0.5357142857142857	0.9666666666666668
deffuant	wrong_hypothesis_group_assignment	0.1	4	full_discovery	28	16	0.5714285714285714	0.94375
