scenario	path_id	path_code	row	segment	source	target	status_file	status_field	raw_status	display_status	intervention_scope	scope_file	root_source	parameter	direction	hypothesis_group_id	attempt_underlying_class
schelling	move_minus_response_to_unhappy_std_to_global_unhappy	S07	6	1	relocation_response_fraction	meso_district_unhappy_fraction_std	analysis/path_intervention_classification.csv	micro_meso_class	manipulation_failure	manipulation_failure	direct_root	analysis/intervention_classifications.csv	relocation_response_fraction	move_probability	minus	macro_outcome_macro_global_unhappy_fraction	manipulation_failure
schelling	move_minus_response_to_unhappy_std_to_global_unhappy	S07	6	2	meso_district_unhappy_fraction_std	macro_global_unhappy_fraction	analysis/path_intervention_classification.csv	meso_macro_class	manipulation_failure	manipulation_failure	upstream_mediated	analysis/intervention_classifications.csv	relocation_response_fraction	move_probability	minus	macro_outcome_macro_global_unhappy_fraction	manipulation_failure
schelling	move_plus_moved_to_dest_std_to_spatial_sim	S08	7	0	move_probability	moved_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	moved_fraction	move_probability	plus	macro_outcome_macro_global_spatial_neighbor_similarity	
schelling	move_plus_moved_to_dest_std_to_spatial_sim	S08	7	1	moved_fraction	meso_district_destination_similarity_std	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	moved_fraction	move_probability	plus	macro_outcome_macro_global_spatial_neighbor_similarity	supported
schelling	move_plus_moved_to_dest_std_to_spatial_sim	S08	7	2	meso_district_destination_similarity_std	macro_global_spatial_neighbor_similarity	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	moved_fraction	move_probability	plus	macro_outcome_macro_global_spatial_neighbor_similarity	supported
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	S09	8	0	move_probability	moved_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	moved_fraction	move_probability	plus	macro_outcome_macro_global_unhappy_fraction	
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	S09	8	1	moved_fraction	meso_district_neighbour_count_std	analysis/path_intervention_classification.csv	micro_meso_class	no_stable_downstream_effect	inconclusive	direct_root	analysis/intervention_classifications.csv	moved_fraction	move_probability	plus	macro_outcome_macro_global_unhappy_fraction	no_stable_downstream_effect
schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	S09	8	2	meso_district_neighbour_count_std	macro_global_unhappy_fraction	analysis/path_intervention_classification.csv	meso_macro_class	no_stable_downstream_effect	inconclusive	upstream_mediated	analysis/intervention_classifications.csv	moved_fraction	move_probability	plus	macro_outcome_macro_global_unhappy_fraction	no_stable_downstream_effect
schelling	move_plus_response_to_move_std_to_global_moved	S10	9	0	move_probability	relocation_response_fraction	analysis/path_intervention_classification.csv	manipulation_success	False	manipulation_failure	direct_root	analysis/intervention_classifications.csv	relocation_response_fraction	move_probability	plus	macro_outcome_macro_global_moved_fraction	
schelling	move_plus_response_to_move_std_to_global_moved	S10	9	1	relocation_response_fraction	meso_district_move_fraction_std	analysis/path_intervention_classification.csv	micro_meso_class	manipulation_failure	manipulation_failure	direct_root	analysis/intervention_classifications.csv	relocation_response_fraction	move_probability	plus	macro_outcome_macro_global_moved_fraction	manipulation_failure
schelling	move_plus_response_to_move_std_to_global_moved	S10	9	2	meso_district_move_fraction_std	macro_global_moved_fraction	analysis/path_intervention_classification.csv	meso_macro_class	manipulation_failure	manipulation_failure	upstream_mediated	analysis/intervention_classifications.csv	relocation_response_fraction	move_probability	plus	macro_outcome_macro_global_moved_fraction	manipulation_failure
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	S11	10	0	tolerance	unhappy_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	minus	macro_outcome_macro_global_spatial_neighbor_similarity	
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	S11	10	1	unhappy_fraction	meso_district_move_fraction_std	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	minus	macro_outcome_macro_global_spatial_neighbor_similarity	supported
schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	S11	10	2	meso_district_move_fraction_std	macro_global_spatial_neighbor_similarity	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	minus	macro_outcome_macro_global_spatial_neighbor_similarity	supported
