scenario,time,unhappy_agent_fraction,changed_cell_fraction,opinion_dispersion,extreme_agent_fraction,snapshot
schelling,0,0.6138888888888889,0.0,,,True
schelling,1,0.5138888888888888,0.09333333333333334,,,False
schelling,2,0.44722222222222224,0.10111111111111111,,,False
schelling,3,0.3902777777777778,0.07111111111111111,,,False
schelling,4,0.3611111111111111,0.042222222222222223,,,False
schelling,5,0.32916666666666666,0.06111111111111111,,,False
schelling,6,0.30833333333333335,0.03,,,False
schelling,7,0.2861111111111111,0.03111111111111111,,,False
schelling,8,0.25555555555555554,0.05333333333333334,,,False
schelling,9,0.2388888888888889,0.028888888888888888,,,False
schelling,10,0.2111111111111111,0.03777777777777778,,,False
schelling,11,0.19722222222222222,0.024444444444444446,,,False
schelling,12,0.18472222222222223,0.02666666666666667,,,False
schelling,13,0.1638888888888889,0.023333333333333334,,,False
schelling,14,0.15416666666666667,0.015555555555555555,,,False
schelling,15,0.1486111111111111,0.01,,,False
schelling,16,0.14027777777777778,0.024444444444444446,,,False
schelling,17,0.13194444444444445,0.022222222222222223,,,False
schelling,18,0.11805555555555555,0.021111111111111112,,,False
schelling,19,0.11666666666666667,0.0022222222222222222,,,False
schelling,20,0.10833333333333334,0.024444444444444446,,,True
schelling,21,0.1,0.017777777777777778,,,False
schelling,22,0.09722222222222222,0.011111111111111112,,,False
schelling,23,0.08888888888888889,0.02,,,False
schelling,24,0.08333333333333333,0.017777777777777778,,,False
schelling,25,0.08472222222222223,0.006666666666666667,,,False
schelling,26,0.08055555555555556,0.013333333333333334,,,False
schelling,27,0.075,0.013333333333333334,,,False
schelling,28,0.06805555555555555,0.015555555555555555,,,False
schelling,29,0.06111111111111111,0.013333333333333334,,,False
schelling,30,0.05277777777777778,0.011111111111111112,,,False
schelling,31,0.05277777777777778,0.0044444444444444444,,,False
schelling,32,0.04861111111111111,0.006666666666666667,,,False
schelling,33,0.043055555555555555,0.011111111111111112,,,False
schelling,34,0.03888888888888889,0.0044444444444444444,,,False
schelling,35,0.0375,0.0044444444444444444,,,False
schelling,36,0.034722222222222224,0.006666666666666667,,,False
schelling,37,0.03333333333333333,0.0022222222222222222,,,False
schelling,38,0.029166666666666667,0.008888888888888889,,,False
schelling,39,0.02361111111111111,0.008888888888888889,,,False
schelling,40,0.020833333333333332,0.0044444444444444444,,,False
schelling,41,0.019444444444444445,0.0044444444444444444,,,False
schelling,42,0.018055555555555554,0.0022222222222222222,,,False
schelling,43,0.018055555555555554,0.0,,,False
schelling,44,0.016666666666666666,0.0022222222222222222,,,False
schelling,45,0.015277777777777777,0.0022222222222222222,,,False
schelling,46,0.013888888888888888,0.0044444444444444444,,,False
schelling,47,0.0125,0.0022222222222222222,,,False
schelling,48,0.0125,0.0,,,False
schelling,49,0.015277777777777777,0.0022222222222222222,,,False
schelling,50,0.013888888888888888,0.0022222222222222222,,,False
schelling,51,0.011111111111111112,0.0044444444444444444,,,False
