evaluation_track,scenario,parameter,dose_label,dose_value,normalized_dose,node_id,scale,mean_raw_effect,mean_standardized_effect,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_low_raw,bootstrap_ci_high_raw,paired_seed_sign_consistency,paired_seed_count,baseline_sd,is_mid_dose,primary_support_input
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,meso_neighborhood_abs_opinion_std,meso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.0336769288004254,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,meso_neighborhood_abs_opinion_std,meso,-0.0060123990114538,-0.178531689961523,-0.24176508730457,-0.1220093258628546,-0.0081823642431846,-0.0039103002362896,0.9166666666666666,24,0.0336769288004254,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,meso_neighborhood_abs_opinion_std,meso,-0.008585698483212,-0.2549430363466989,-0.3253331447169005,-0.1951117504499884,-0.0109612327583535,-0.006310236226931,0.9166666666666666,24,0.0336769288004254,False,False
secondary_dose_response,deffuant,assimilation_strength,minus,0.12,-1.0,meso_neighborhood_abs_opinion_variance,meso,0.0039442394422431,0.8048526616099476,0.6810814555433331,0.944848938507899,0.0034012048129248,0.0045547400102357,1.0,24,0.0049005732730677,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_minus,0.185,-0.5,meso_neighborhood_abs_opinion_variance,meso,0.0011006520351465,0.2245965877493171,0.1375548934795976,0.3102554295480736,0.0006357635904625,0.0015566029422648,0.9166666666666666,24,0.0049005732730677,True,False
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,meso_neighborhood_abs_opinion_variance,meso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.0049005732730677,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,meso_neighborhood_abs_opinion_variance,meso,-0.0007676487833831,-0.1566446904491617,-0.2410124481063502,-0.0852594846039889,-0.0012088223278427,-0.0004105739429948,0.7916666666666666,24,0.0049005732730677,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,meso_neighborhood_abs_opinion_variance,meso,-0.0011725903507415,-0.2392761592170872,-0.3370109217371394,-0.164061803566752,-0.0016061233296389,-0.0007850970928055,0.9166666666666666,24,0.0049005732730677,False,False
secondary_dose_response,deffuant,assimilation_strength,minus,0.12,-1.0,meso_neighborhood_agent_shift_std,meso,-0.0007323985012389,-0.127388057277158,-0.171865171609239,-0.0845314056393844,-0.0009863406843405,-0.0005026767563492,0.875,24,0.0057493497969392,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_minus,0.185,-0.5,meso_neighborhood_agent_shift_std,meso,-0.0003082011127224,-0.0536062552475926,-0.096948488239466,-0.0074439009259102,-0.0005800593569414,-7.196904389966192e-05,0.7083333333333334,24,0.0057493497969392,True,False
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,meso_neighborhood_agent_shift_std,meso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.0057493497969392,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,meso_neighborhood_agent_shift_std,meso,0.0007126262824187,0.1239490216438319,0.0749902486990708,0.1669939286948764,0.0004414252882212,0.001001146507323,0.7916666666666666,24,0.0057493497969392,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,meso_neighborhood_agent_shift_std,meso,0.0015041144518538,0.2616147051366791,0.1738861062019726,0.3500073997154791,0.0009997798785963,0.0020337614849472,0.9166666666666666,24,0.0057493497969392,False,False
secondary_dose_response,deffuant,assimilation_strength,minus,0.12,-1.0,meso_neighborhood_interaction_distance_std,meso,0.0115471052743249,0.1115657932388305,0.0841725223926317,0.1411691562421784,0.0080882305977194,0.014529803770571,0.9583333333333334,24,0.1035004093916665,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_minus,0.185,-0.5,meso_neighborhood_interaction_distance_std,meso,0.0015039917377075,0.0145312636592198,-0.0280249395543861,0.0562418688884605,-0.0033126973663087,0.0060473953357178,0.5833333333333334,24,0.1035004093916665,True,False
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,meso_neighborhood_interaction_distance_std,meso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.1035004093916665,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,meso_neighborhood_interaction_distance_std,meso,-9.72511366571658e-05,-0.0009396207921182,-0.0340874219062516,0.0290259213655987,-0.0035488183606385,0.0032449867805784,0.4166666666666667,24,0.1035004093916665,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,meso_neighborhood_interaction_distance_std,meso,-0.0049443731491,-0.0477715322882396,-0.0937689211366851,0.003361509312347,-0.0098866380464116,7.589902474026142e-05,0.5833333333333334,24,0.1035004093916665,False,False
