scenario,parameter,micro,meso,macro,primary_path_direction,minus_micro_effect,minus_micro_ci_low,minus_micro_ci_high,minus_micro_onset,minus_micro_significant,minus_micro_effect_sign,minus_meso_effect,minus_meso_ci_low,minus_meso_ci_high,minus_meso_onset,minus_meso_significant,minus_meso_effect_sign,minus_macro_effect,minus_macro_ci_low,minus_macro_ci_high,minus_macro_onset,minus_macro_significant,minus_macro_effect_sign,plus_micro_effect,plus_micro_ci_low,plus_micro_ci_high,plus_micro_onset,plus_micro_significant,plus_micro_effect_sign,plus_meso_effect,plus_meso_ci_low,plus_meso_ci_high,plus_meso_onset,plus_meso_significant,plus_meso_effect_sign,plus_macro_effect,plus_macro_ci_low,plus_macro_ci_high,plus_macro_onset,plus_macro_significant,plus_macro_effect_sign
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_opinion_std,macro_opinion_global_variance,plus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.4704083639003456,0.4211920654724271,0.5240086812699798,7,True,1,0.585817966945072,0.4461161409436543,0.7390446713943456,4,True,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-0.7477673879659644,-0.864580651248728,-0.6267136451383478,2,True,-1,-3.882337048841469,-4.148810588484695,-3.605770184418265,2,True,-1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_opinion_variance,macro_opinion_global_variance,minus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.5407655409175115,0.4701738054082682,0.6144827277630114,4,True,1,0.585817966945072,0.4461161409436543,0.7390446713943456,4,True,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-1.044836590453872,-1.1349283934456138,-0.948312618580689,2,True,-1,-3.882337048841469,-4.148810588484695,-3.605770184418265,2,True,-1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_interaction_distance_variance,macro_network_largest_component_fraction,plus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.4650846464834515,0.4003245138648106,0.5360185084079491,18,True,1,0.1301630772845722,0.0,0.5206523091382892,-1,False,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-1.160079972545697,-1.2518345166157054,-1.060150436977693,3,True,-1,0.1301630772845722,0.0,0.3904892318537168,-1,False,1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_interaction_distance_std,macro_network_largest_component_fraction,minus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.4279667886183276,0.3830572195876423,0.474612703838802,28,True,1,0.1301630772845722,0.0,0.5206523091382892,-1,False,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-0.8782269156297401,-0.9883634779986892,-0.7678247272075176,3,True,-1,0.1301630772845722,0.0,0.3904892318537168,-1,False,1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_abs_opinion_std,macro_opinion_global_mean,plus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,1.2739810080945135,1.1592525322383471,1.389303676678935,1,True,1,-0.016882032920097,-0.1919129665573011,0.1386042256087735,-1,False,-1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,0.5441427942512459,0.3332828823154872,0.7215435621782608,13,True,1,-0.0432673111149757,-0.2355974160113894,0.1562633359119556,-1,False,-1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,macro_network_assortativity,minus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,1.7788837381893383,1.5838338435657806,2.0063733655078466,1,True,1,-0.2240428631534536,-0.2499819611564405,-0.1989106922832414,16,True,-1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,0.5402749979139813,0.3551608472097691,0.6883895891183991,13,True,1,-0.8618955405235112,-1.2402702495824554,-0.5517841887687043,41,True,-1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_opinion_std,macro_opinion_global_variance,plus,-0.0862345684606112,-0.1257512251110135,-0.0468194511305337,0,False,-1,0.2054652532642656,0.1788819575825285,0.2358584384231351,23,True,1,0.0156295426397383,-0.1066677548746304,0.1132973202231658,9,False,1,0.2127103551405639,0.1401369308709358,0.2885972481906343,0,True,1,-0.0592485619012456,-0.1033855945641064,-0.0173088197156137,-1,False,-1,-0.0215210923173224,-0.2014747529953962,0.1251762662354331,-1,False,-1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_opinion_variance,macro_opinion_global_variance,minus,-0.0862345684606112,-0.1257512251110135,-0.0468194511305337,0,False,-1,0.1491503226741312,0.1132195989774712,0.1848934589566899,7,True,1,0.0156295426397383,-0.1066677548746304,0.1132973202231658,9,False,1,0.2127103551405639,0.1401369308709358,0.2885972481906343,0,True,1,-0.0518915241680771,-0.1169871303278685,0.0060219716219379,-1,False,-1,-0.0215210923173224,-0.2014747529953962,0.1251762662354331,-1,False,-1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,plus,-0.0862345684606112,-0.1257512251110135,-0.0468194511305337,0,False,-1,-0.127388057277158,-0.1707296245338767,-0.084828890138704,0,False,-1,0.0522606799435477,-0.0501004554464094,0.1405940765664497,-1,False,1,0.2127103551405639,0.1401369308709358,0.2885972481906343,0,True,1,0.2616147051366791,0.1789115346143616,0.3539872589023216,0,True,1,0.1048786282602606,-0.0241169997512693,0.233716534558814,-1,False,1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,macro_network_largest_component_fraction,minus,-0.0862345684606112,-0.1257512251110135,-0.0468194511305337,0,False,-1,0.8048526616099485,0.6850677674668618,0.9355379940014072,1,True,1,0.1301630772845722,0.0,0.3904892318537168,-1,False,1,0.2127103551405639,0.1401369308709358,0.2885972481906343,0,True,1,-0.2392761592170874,-0.3274475914321268,-0.1563537006518957,2,True,-1,0.0392555312445535,-0.0433876924281907,0.1611542861618514,-1,False,1
