evaluation_track,scenario,parameter,node_id,scale,dose_point_count,dose_response_slope,slope_ci_low,slope_ci_high,spearman_rho,monotonic_direction_score,adjacent_dose_consistency,quadratic_delta_r2,nonlinearity_indicator,slope_bootstrap_unit,primary_classification_changed
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_interaction_distance_variance,meso,5,-0.7796473937628091,-0.8309672406966899,-0.7301635379746247,-1.0,1.0,1.0,0.0556849069073318,True,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_opinion_std,meso,5,-0.5650555756389791,-0.6232059534379487,-0.5072652309018061,-1.0,1.0,1.0,0.0209322059622438,False,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,meso_neighborhood_opinion_variance,meso,5,-0.756615458178871,-0.8101145129816489,-0.7084407644338794,-1.0,1.0,1.0,0.0322314335619268,False,paired_seeds,False
secondary_dose_response,deffuant,confidence_bound,micro_accepted_fraction,micro,5,0.6793069506343543,0.6293742615978031,0.7281440815747439,1.0,1.0,1.0,0.0062836119576415,False,paired_seeds,False
secondary_dose_response,schelling,destination_preference,macro_global_connected_components,macro,5,-0.3552949697440488,-0.4089662902636947,-0.2979602704028227,-1.0,1.0,1.0,0.1881018228001875,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,macro_global_spatial_neighbor_similarity,macro,5,0.4173872400443089,0.3709389893438299,0.4690490304859909,1.0,1.0,1.0,0.1673136162483244,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,macro_global_unhappy_fraction,macro,5,-0.3989358666298025,-0.4244239527070871,-0.3710975029565862,-1.0,1.0,1.0,0.1599486691066164,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,mean_destination_similarity_movers,micro,5,-0.1563738351112802,-0.181966712567944,-0.1294805180439844,-0.8999999999999998,0.9,0.75,0.1430545387781249,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_boundary_fraction_std,meso,5,-0.0849726914456787,-0.3226689572923447,0.1569074556361443,-0.3,0.6,0.5,0.1744838569373676,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_destination_similarity_std,meso,5,-0.2258496413668931,-0.2472431980605458,-0.2058170050544449,-1.0,1.0,1.0,0.1361468024251523,True,paired_seeds,False
