scenario,parameter,micro,meso,macro,primary_path_direction,minus_micro_effect,minus_micro_ci_low,minus_micro_ci_high,minus_micro_onset,minus_micro_significant,minus_micro_effect_sign,minus_meso_effect,minus_meso_ci_low,minus_meso_ci_high,minus_meso_onset,minus_meso_significant,minus_meso_effect_sign,minus_macro_effect,minus_macro_ci_low,minus_macro_ci_high,minus_macro_onset,minus_macro_significant,minus_macro_effect_sign,plus_micro_effect,plus_micro_ci_low,plus_micro_ci_high,plus_micro_onset,plus_micro_significant,plus_micro_effect_sign,plus_meso_effect,plus_meso_ci_low,plus_meso_ci_high,plus_meso_onset,plus_meso_significant,plus_meso_effect_sign,plus_macro_effect,plus_macro_ci_low,plus_macro_ci_high,plus_macro_onset,plus_macro_significant,plus_macro_effect_sign
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_opinion_std,macro_opinion_global_variance,plus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.4704083639003456,0.42119206547242716,0.5240086812699798,7,True,1,0.585817966945072,0.4461161409436543,0.7390446713943456,4,True,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-0.7477673879659644,-0.864580651248728,-0.6267136451383478,2,True,-1,-3.882337048841469,-4.148810588484695,-3.605770184418265,2,True,-1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_opinion_variance,macro_opinion_global_variance,minus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.5407655409175115,0.47017380540826825,0.6144827277630114,4,True,1,0.585817966945072,0.4461161409436543,0.7390446713943456,4,True,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-1.044836590453872,-1.1349283934456138,-0.948312618580689,2,True,-1,-3.882337048841469,-4.148810588484695,-3.605770184418265,2,True,-1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_interaction_distance_variance,macro_network_largest_component_fraction,plus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.4650846464834515,0.4003245138648106,0.5360185084079491,18,True,1,0.13016307728457227,0.0,0.5206523091382892,-1,False,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-1.160079972545697,-1.2518345166157054,-1.060150436977693,3,True,-1,0.13016307728457227,0.0,0.3904892318537168,-1,False,1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_interaction_distance_std,macro_network_largest_component_fraction,minus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,0.42796678861832765,0.38305721958764233,0.47461270383880205,28,True,1,0.13016307728457227,0.0,0.5206523091382892,-1,False,1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,-0.8782269156297401,-0.9883634779986891,-0.7678247272075176,3,True,-1,0.13016307728457227,0.0,0.3904892318537168,-1,False,1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_abs_opinion_std,macro_opinion_global_mean,plus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,1.2739810080945135,1.1592525322383471,1.389303676678935,1,True,1,-0.016882032920097045,-0.19191296655730114,0.13860422560877353,-1,False,-1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,0.5441427942512459,0.3332828823154872,0.7215435621782608,13,True,1,-0.043267311114975726,-0.23559741601138942,0.1562633359119556,-1,False,-1
deffuant,confidence_bound,micro_accepted_fraction,meso_neighborhood_abs_opinion_variance,macro_network_assortativity,minus,-0.8313759904925954,-0.8863574602793697,-0.7870177506818334,0,True,-1,1.7788837381893383,1.5838338435657806,2.0063733655078466,1,True,1,-0.22404286315345368,-0.24998196115644053,-0.19891069228324149,16,True,-1,0.6414189382753075,0.5499864125436397,0.7279668277157543,0,True,1,0.5402749979139813,0.3551608472097691,0.6883895891183991,13,True,1,-0.8618955405235112,-1.2402702495824554,-0.5517841887687043,41,True,-1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_opinion_std,macro_opinion_global_variance,plus,-0.08623456846061121,-0.12575122511101358,-0.046819451130533714,0,False,-1,0.20546525326426568,0.1788819575825285,0.23585843842313517,23,True,1,0.015629542639738377,-0.1066677548746304,0.11329732022316584,9,False,1,0.21271035514056394,0.14013693087093584,0.2885972481906343,0,True,1,-0.05924856190124567,-0.10338559456410641,-0.017308819715613773,-1,False,-1,-0.021521092317322462,-0.2014747529953962,0.12517626623543315,-1,False,-1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_opinion_variance,macro_opinion_global_variance,minus,-0.08623456846061121,-0.12575122511101358,-0.046819451130533714,0,False,-1,0.1491503226741312,0.11321959897747125,0.18489345895668993,7,True,1,0.015629542639738377,-0.1066677548746304,0.11329732022316584,9,False,1,0.21271035514056394,0.14013693087093584,0.2885972481906343,0,True,1,-0.051891524168077165,-0.11698713032786859,0.006021971621937938,-1,False,-1,-0.021521092317322462,-0.2014747529953962,0.12517626623543315,-1,False,-1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,plus,-0.08623456846061121,-0.12575122511101358,-0.046819451130533714,0,False,-1,-0.12738805727715807,-0.17072962453387677,-0.08482889013870404,0,False,-1,0.05226067994354771,-0.05010045544640946,0.14059407656644973,-1,False,1,0.21271035514056394,0.14013693087093584,0.2885972481906343,0,True,1,0.2616147051366791,0.17891153461436163,0.35398725890232163,0,True,1,0.1048786282602606,-0.024116999751269325,0.233716534558814,-1,False,1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_variance,macro_network_largest_component_fraction,minus,-0.08623456846061121,-0.12575122511101358,-0.046819451130533714,0,False,-1,0.8048526616099485,0.6850677674668618,0.9355379940014072,1,True,1,0.13016307728457227,0.0,0.3904892318537168,-1,False,1,0.21271035514056394,0.14013693087093584,0.2885972481906343,0,True,1,-0.23927615921708748,-0.32744759143212687,-0.15635370065189574,2,True,-1,0.03925553124455355,-0.04338769242819076,0.1611542861618514,-1,False,1
