scenario,factor,noise_level,missing_fraction,support_threshold,repetition,temporal_qualification_rate,stability,retained_edge_count,intervention_f1
deffuant,observation_noise,0.2,0.0,0.65,5,0.4642857142857143,0.9384615384615385,13,
deffuant,observation_noise,0.2,0.0,0.65,6,0.42857142857142855,0.9055555555555556,12,
deffuant,observation_noise,0.2,0.0,0.65,7,0.4642857142857143,0.9076923076923078,13,
deffuant,support_threshold,0.0,0.0,0.5,0,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,1,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,2,0.5714285714285714,0.95625,16,
deffuant,support_threshold,0.0,0.0,0.5,3,0.5714285714285714,0.9416666666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,4,0.5714285714285714,0.9520833333333334,16,
deffuant,support_threshold,0.0,0.0,0.5,5,0.5714285714285714,0.9500000000000001,16,
deffuant,support_threshold,0.0,0.0,0.5,6,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.5,7,0.5714285714285714,0.9479166666666666,16,
deffuant,support_threshold,0.0,0.0,0.6,0,0.5714285714285714,0.9375,16,
deffuant,support_threshold,0.0,0.0,0.6,1,0.5714285714285714,0.9270833333333334,16,
deffuant,support_threshold,0.0,0.0,0.6,2,0.5714285714285714,0.9416666666666667,16,
deffuant,support_threshold,0.0,0.0,0.6,3,0.5714285714285714,0.9395833333333333,16,
deffuant,support_threshold,0.0,0.0,0.6,4,0.5714285714285714,0.9458333333333333,16,
deffuant,support_threshold,0.0,0.0,0.6,5,0.5714285714285714,0.9458333333333333,16,
deffuant,support_threshold,0.0,0.0,0.6,6,0.5714285714285714,0.9437500000000001,16,
deffuant,support_threshold,0.0,0.0,0.6,7,0.5714285714285714,0.9437500000000001,16,
deffuant,support_threshold,0.0,0.0,0.65,0,0.5714285714285714,0.94375,16,
deffuant,support_threshold,0.0,0.0,0.65,1,0.5714285714285714,0.93125,16,
deffuant,support_threshold,0.0,0.0,0.65,2,0.5714285714285714,0.9416666666666668,16,
deffuant,support_threshold,0.0,0.0,0.65,3,0.5714285714285714,0.9083333333333334,16,
deffuant,support_threshold,0.0,0.0,0.65,4,0.5714285714285714,0.9395833333333333,16,
deffuant,support_threshold,0.0,0.0,0.65,5,0.5357142857142857,0.9511111111111111,15,
deffuant,support_threshold,0.0,0.0,0.65,6,0.5714285714285714,0.9479166666666667,16,
deffuant,support_threshold,0.0,0.0,0.65,7,0.5714285714285714,0.9458333333333333,16,
deffuant,support_threshold,0.0,0.0,0.75,0,0.5,0.961904761904762,14,
deffuant,support_threshold,0.0,0.0,0.75,1,0.5714285714285714,0.9375,16,
deffuant,support_threshold,0.0,0.0,0.75,2,0.5357142857142857,0.9511111111111111,15,
deffuant,support_threshold,0.0,0.0,0.75,3,0.5357142857142857,0.9511111111111112,15,
deffuant,support_threshold,0.0,0.0,0.75,4,0.5357142857142857,0.9511111111111112,15,
deffuant,support_threshold,0.0,0.0,0.75,5,0.5714285714285714,0.9541666666666666,16,
deffuant,support_threshold,0.0,0.0,0.75,6,0.5714285714285714,0.9520833333333334,16,
deffuant,support_threshold,0.0,0.0,0.75,7,0.5357142857142857,0.9555555555555557,15,
deffuant,support_threshold,0.0,0.0,0.85,0,0.5,0.9666666666666668,14,
deffuant,support_threshold,0.0,0.0,0.85,1,0.5357142857142857,0.9733333333333334,15,
deffuant,support_threshold,0.0,0.0,0.85,2,0.4642857142857143,0.9666666666666668,13,
deffuant,support_threshold,0.0,0.0,0.85,3,0.5357142857142857,0.9644444444444445,15,
deffuant,support_threshold,0.0,0.0,0.85,4,0.5,0.9738095238095239,14,
deffuant,support_threshold,0.0,0.0,0.85,5,0.39285714285714285,0.9848484848484849,11,
deffuant,support_threshold,0.0,0.0,0.85,6,0.42857142857142855,0.9833333333333334,12,
deffuant,support_threshold,0.0,0.0,0.85,7,0.4642857142857143,0.9846153846153847,13,
schelling,missing_values,0.0,0.0,0.65,0,0.9655172413793104,0.9642857142857143,28,
schelling,missing_values,0.0,0.0,0.65,1,0.9655172413793104,0.9714285714285714,28,
schelling,missing_values,0.0,0.0,0.65,2,0.9655172413793104,0.9749999999999999,28,
schelling,missing_values,0.0,0.0,0.65,3,0.9310344827586207,0.9814814814814815,27,
schelling,missing_values,0.0,0.0,0.65,4,0.9655172413793104,0.9714285714285713,28,
schelling,missing_values,0.0,0.0,0.65,5,0.9655172413793104,0.969047619047619,28,
schelling,missing_values,0.0,0.0,0.65,6,0.9655172413793104,0.9738095238095239,28,
schelling,missing_values,0.0,0.0,0.65,7,0.9655172413793104,0.9714285714285715,28,
schelling,missing_values,0.0,0.05,0.65,0,0.9310344827586207,0.9691358024691359,27,
schelling,missing_values,0.0,0.05,0.65,1,0.9310344827586207,0.9703703703703703,27,
schelling,missing_values,0.0,0.05,0.65,2,0.896551724137931,0.9743589743589743,26,
schelling,missing_values,0.0,0.05,0.65,3,0.9310344827586207,0.9728395061728394,27,
schelling,missing_values,0.0,0.05,0.65,4,0.9655172413793104,0.979761904761905,28,
schelling,missing_values,0.0,0.05,0.65,5,0.9310344827586207,0.9753086419753088,27,
schelling,missing_values,0.0,0.05,0.65,6,0.9655172413793104,0.9619047619047619,28,
schelling,missing_values,0.0,0.05,0.65,7,0.9310344827586207,0.9790123456790124,27,
schelling,missing_values,0.0,0.1,0.65,0,0.896551724137931,0.9602564102564102,26,
schelling,missing_values,0.0,0.1,0.65,1,0.8620689655172413,0.9693333333333334,25,
schelling,missing_values,0.0,0.1,0.65,2,0.896551724137931,0.9717948717948718,26,
schelling,missing_values,0.0,0.1,0.65,3,0.9655172413793104,0.9607142857142856,28,
schelling,missing_values,0.0,0.1,0.65,4,0.896551724137931,0.9794871794871796,26,
schelling,missing_values,0.0,0.1,0.65,5,0.9310344827586207,0.9814814814814815,27,
schelling,missing_values,0.0,0.1,0.65,6,0.896551724137931,0.9525641025641025,26,
schelling,missing_values,0.0,0.1,0.65,7,0.896551724137931,0.9769230769230769,26,
schelling,missing_values,0.0,0.2,0.65,0,0.8275862068965517,0.9708333333333333,24,
schelling,missing_values,0.0,0.2,0.65,1,0.7931034482758621,0.9623188405797102,23,
schelling,missing_values,0.0,0.2,0.65,2,0.9310344827586207,0.9641975308641975,27,
schelling,missing_values,0.0,0.2,0.65,3,0.8620689655172413,0.9746666666666667,25,
schelling,missing_values,0.0,0.2,0.65,4,0.896551724137931,0.9782051282051282,26,
schelling,missing_values,0.0,0.2,0.65,5,0.8620689655172413,0.9666666666666667,25,
schelling,missing_values,0.0,0.2,0.65,6,0.8620689655172413,0.9680000000000001,25,
schelling,missing_values,0.0,0.2,0.65,7,0.8620689655172413,0.9733333333333334,25,
schelling,observation_noise,0.0,0.0,0.65,0,0.9655172413793104,0.9714285714285714,28,
schelling,observation_noise,0.0,0.0,0.65,1,0.9655172413793104,0.969047619047619,28,
schelling,observation_noise,0.0,0.0,0.65,2,0.9655172413793104,0.963095238095238,28,
schelling,observation_noise,0.0,0.0,0.65,3,0.9655172413793104,0.9761904761904762,28,
schelling,observation_noise,0.0,0.0,0.65,4,0.9655172413793104,0.9702380952380952,28,
schelling,observation_noise,0.0,0.0,0.65,5,0.9655172413793104,0.9642857142857142,28,
schelling,observation_noise,0.0,0.0,0.65,6,0.9655172413793104,0.9773809523809524,28,
schelling,observation_noise,0.0,0.0,0.65,7,0.9655172413793104,0.9666666666666667,28,
schelling,observation_noise,0.05,0.0,0.65,0,0.8275862068965517,0.9583333333333334,24,
schelling,observation_noise,0.05,0.0,0.65,1,0.8275862068965517,0.9555555555555557,24,
schelling,observation_noise,0.05,0.0,0.65,2,0.7586206896551724,0.9666666666666667,22,
schelling,observation_noise,0.05,0.0,0.65,3,0.8620689655172413,0.9680000000000001,25,
schelling,observation_noise,0.05,0.0,0.65,4,0.7931034482758621,0.9608695652173914,23,
schelling,observation_noise,0.05,0.0,0.65,5,0.8620689655172413,0.9733333333333334,25,
schelling,observation_noise,0.05,0.0,0.65,6,0.7931034482758621,0.9565217391304348,23,
schelling,observation_noise,0.05,0.0,0.65,7,0.896551724137931,0.9628205128205127,26,
schelling,observation_noise,0.1,0.0,0.65,0,0.7931034482758621,0.9478260869565216,23,
schelling,observation_noise,0.1,0.0,0.65,1,0.6896551724137931,0.9633333333333332,20,
schelling,observation_noise,0.1,0.0,0.65,2,0.7586206896551724,0.9454545454545454,22,
schelling,observation_noise,0.1,0.0,0.65,3,0.8275862068965517,0.9486111111111111,24,
schelling,observation_noise,0.1,0.0,0.65,4,0.6896551724137931,0.9333333333333332,20,
schelling,observation_noise,0.1,0.0,0.65,5,0.7241379310344828,0.9666666666666667,21,
schelling,observation_noise,0.1,0.0,0.65,6,0.6896551724137931,0.9666666666666666,20,
schelling,observation_noise,0.1,0.0,0.65,7,0.8620689655172413,0.96,25,
schelling,observation_noise,0.2,0.0,0.65,0,0.7586206896551724,0.9363636363636363,22,
schelling,observation_noise,0.2,0.0,0.65,1,0.6206896551724138,0.9499999999999998,18,
schelling,observation_noise,0.2,0.0,0.65,2,0.6896551724137931,0.9399999999999998,20,
schelling,observation_noise,0.2,0.0,0.65,3,0.7241379310344828,0.9619047619047618,21,
schelling,observation_noise,0.2,0.0,0.65,4,0.6551724137931034,0.9491228070175438,19,
