scenario,method,hypothesis_group_id,root_source,edge_source,edge_target,source,target,parameter,direction,manipulation_level,manipulation_success,source_significant,target_significant,propagation_order_supported,primary_class,underlying_class,intervention_scope,root_onset,source_onset,target_onset,intervention_delay,observational_lag,observational_beta,lag_difference,temporal_direction_concordant,lag_concordant,root_effect,source_effect,target_effect,not_applicable_reason
deffuant,single_trajectory,macro_outcome_d_macro_2,d_micro_repulsion,d_meso_2,d_macro_2,d_meso_2,d_macro_2,backfire_threshold,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,3,7,4.0,4,0.3154929472068239,0.0,True,True,-0.48708574696528045,-0.4418177425784046,-1.598086352657563,
deffuant,single_trajectory,macro_outcome_d_macro_2,d_micro_repulsion,d_micro_repulsion,d_meso_2,d_micro_repulsion,d_meso_2,backfire_threshold,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,direct_root,0,0,3,3.0,3,0.3683223063903989,0.0,True,True,0.084013836920408,0.084013836920408,0.09421754332112713,
deffuant,single_trajectory,macro_outcome_d_macro_2,d_micro_repulsion,d_micro_repulsion,d_meso_2,d_micro_repulsion,d_meso_2,backfire_threshold,plus,micro,True,True,True,True,supported,supported,direct_root,0,0,3,3.0,3,0.3683223063903989,0.0,True,True,-0.48708574696528045,-0.48708574696528045,-0.4418177425784046,
deffuant,single_trajectory,macro_outcome_d_macro_3,,d_meso_2,d_macro_3,d_meso_2,d_macro_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,1,-0.11294643578017775,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,single_trajectory,macro_outcome_d_macro_3,,d_meso_3,d_macro_3,d_meso_3,d_macro_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.21298404132052415,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,single_trajectory,macro_outcome_d_macro_3,,d_micro_rewiring,d_meso_3,d_micro_rewiring,d_meso_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.25044592399260984,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,trajectory_vote,macro_outcome_d_macro_0,d_micro_assimilation,d_meso_0,d_macro_0,d_meso_0,d_macro_0,confidence_bound,minus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.4122524445626219,0.0,True,True,-0.8313759904925954,-0.7154878685723034,-1.3586201874470116,
deffuant,trajectory_vote,macro_outcome_d_macro_0,d_micro_assimilation,d_meso_0,d_macro_0,d_meso_0,d_macro_0,confidence_bound,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.4122524445626219,0.0,True,True,0.6414189382753075,0.5894890890492422,4.720456307209286,
deffuant,trajectory_vote,macro_outcome_d_macro_1,d_micro_shift,d_meso_1,d_macro_1,d_meso_1,d_macro_1,assimilation_strength,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,upstream_mediated,0,2,6,4.0,3,0.11042824608733423,1.0,True,True,-0.08623456846061121,-0.0240320091550645,-0.040212606061237284,
deffuant,trajectory_vote,macro_outcome_d_macro_1,d_micro_shift,d_meso_1,d_macro_1,d_meso_1,d_macro_1,assimilation_strength,plus,micro,True,False,False,True,no_stable_downstream_effect,no_stable_downstream_effect,upstream_mediated,0,2,7,5.0,3,0.11042824608733423,2.0,True,True,0.21271035514056394,0.04955711733649698,0.04692151546669036,
deffuant,trajectory_vote,macro_outcome_d_macro_2,d_micro_repulsion,d_meso_2,d_macro_2,d_meso_2,d_macro_2,backfire_threshold,minus,micro,False,False,True,True,manipulation_failure,manipulation_failure,upstream_mediated,0,3,7,4.0,4,0.316833767284804,0.0,True,True,0.084013836920408,0.09421754332112713,0.46091591535528426,
deffuant,trajectory_vote,macro_outcome_d_macro_2,d_micro_repulsion,d_meso_2,d_macro_2,d_meso_2,d_macro_2,backfire_threshold,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,3,7,4.0,4,0.316833767284804,0.0,True,True,-0.48708574696528045,-0.4418177425784046,-1.598086352657563,
deffuant,trajectory_vote,macro_outcome_d_macro_3,,d_meso_3,d_macro_3,d_meso_3,d_macro_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.264762048407536,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,trajectory_vote,macro_outcome_d_macro_0,d_micro_assimilation,d_micro_assimilation,d_meso_0,d_micro_assimilation,d_meso_0,confidence_bound,minus,micro,True,True,True,True,supported,supported,direct_root,0,0,1,1.0,1,0.5840388503344309,0.0,True,True,-0.8313759904925954,-0.8313759904925954,-0.7154878685723034,
deffuant,trajectory_vote,macro_outcome_d_macro_0,d_micro_assimilation,d_micro_assimilation,d_meso_0,d_micro_assimilation,d_meso_0,confidence_bound,plus,micro,True,True,True,True,supported,supported,direct_root,0,0,1,1.0,1,0.5840388503344309,0.0,True,True,0.6414189382753075,0.6414189382753075,0.5894890890492422,
deffuant,trajectory_vote,macro_outcome_d_macro_2,d_micro_repulsion,d_micro_repulsion,d_meso_2,d_micro_repulsion,d_meso_2,backfire_threshold,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,direct_root,0,0,3,3.0,3,0.4765236768933674,0.0,True,True,0.084013836920408,0.084013836920408,0.09421754332112713,
deffuant,trajectory_vote,macro_outcome_d_macro_2,d_micro_repulsion,d_micro_repulsion,d_meso_2,d_micro_repulsion,d_meso_2,backfire_threshold,plus,micro,True,True,True,True,supported,supported,direct_root,0,0,3,3.0,3,0.4765236768933674,0.0,True,True,-0.48708574696528045,-0.48708574696528045,-0.4418177425784046,
deffuant,trajectory_vote,macro_outcome_d_macro_3,,d_micro_rewiring,d_meso_3,d_micro_rewiring,d_meso_3,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,0.31219482546131455,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,full_method,macro_outcome_d_macro_0,d_micro_assimilation,d_meso_0,d_macro_0,d_meso_0,d_macro_0,confidence_bound,minus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.39708246517609913,0.0,True,True,-0.8313759904925954,-0.7154878685723034,-1.3586201874470116,
deffuant,full_method,macro_outcome_d_macro_0,d_micro_assimilation,d_meso_0,d_macro_0,d_meso_0,d_macro_0,confidence_bound,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,1,3,2.0,2,0.39708246517609913,0.0,True,True,0.6414189382753075,0.5894890890492422,4.720456307209286,
deffuant,full_method,macro_outcome_d_macro_0,,d_meso_3,d_macro_0,d_meso_3,d_macro_0,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.02532457588780123,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,full_method,macro_outcome_d_macro_0,d_micro_assimilation,d_micro_assimilation,d_meso_0,d_micro_assimilation,d_meso_0,confidence_bound,minus,micro,True,True,True,True,supported,supported,direct_root,0,0,1,1.0,1,0.5479527525768131,0.0,True,True,-0.8313759904925954,-0.8313759904925954,-0.7154878685723034,
