scenario,method,trajectory_count,repetition,temporal_qualification_rate,stability,lag_support,lag_std,stability_estimable,temporal_qualification_rate_ci_low,temporal_qualification_rate_ci_high,stability_ci_low,stability_ci_high
deffuant,full_method,1,0,0.32142857142857145,,,,False,,,,
deffuant,full_method,1,1,0.35714285714285715,,,,False,,,,
deffuant,full_method,1,2,0.35714285714285715,,,,False,,,,
deffuant,full_method,1,3,0.25,,,,False,,,,
deffuant,full_method,1,4,0.14285714285714285,,,,False,,,,
deffuant,full_method,1,5,0.32142857142857145,,,,False,,,,
deffuant,full_method,1,6,0.14285714285714285,,,,False,,,,
deffuant,full_method,1,7,0.35714285714285715,,,,False,,,,
deffuant,full_method,1,8,0.25,,,,False,,,,
deffuant,full_method,1,9,0.35714285714285715,,,,False,,,,
deffuant,full_method,1,10,0.32142857142857145,,,,False,,,,
deffuant,full_method,1,11,0.35714285714285715,,,,False,,,,
deffuant,full_method,2,0,0.39285714285714285,0.9848484848484849,0.8181818181818182,0.6060918211553121,True,0.39285714285714285,0.6785714285714286,0.6796296296296296,0.9848484848484848
deffuant,full_method,2,1,0.25,0.9142857142857144,0.619047619047619,0.9465594629305069,True,0.25,0.5,0.6809523809523809,0.9142857142857143
deffuant,full_method,2,2,0.39285714285714285,0.9272727272727274,0.8666666666666667,0.4096476900572103,True,0.39285714285714285,0.6071428571428571,0.5479166666666666,0.9272727272727272
deffuant,full_method,2,3,0.2857142857142857,0.9125,0.6291666666666667,0.7331885443369366,True,0.2857142857142857,0.6071428571428571,0.6392156862745099,0.9125
deffuant,full_method,2,4,0.35714285714285715,0.9400000000000001,0.74,0.5255897113688895,True,0.39285714285714285,0.75,0.7052631578947368,0.909090909090909
deffuant,full_method,2,5,0.35714285714285715,0.8999999999999998,0.7666666666666667,0.6092216346645735,True,0.35714285714285715,0.75,0.6111111111111109,0.8999999999999998
deffuant,full_method,2,6,0.39285714285714285,0.9363636363636363,0.7636363636363636,0.5571336394247091,True,0.39285714285714285,0.75,0.6142857142857141,0.9363636363636363
deffuant,full_method,2,7,0.32142857142857145,0.9703703703703704,0.7333333333333333,0.7503943584916255,True,0.39285714285714285,0.6785714285714286,0.6403508771929824,0.9090909090909091
deffuant,full_method,2,8,0.32142857142857145,0.9037037037037037,0.6740740740740742,0.6708056417898931,True,0.32142857142857145,0.6071428571428571,0.6708333333333334,0.9037037037037037
deffuant,full_method,2,9,0.17857142857142858,0.96,0.8333333333333334,0.4115070951684042,True,0.17857142857142858,0.75,0.5111111111111111,0.96
deffuant,full_method,2,10,0.39285714285714285,0.9848484848484849,0.8454545454545456,0.5985931466415487,True,0.39285714285714285,0.7142857142857143,0.6066666666666666,0.9848484848484848
deffuant,full_method,2,11,0.2857142857142857,0.9375,0.8416666666666668,0.3472876329663051,True,0.2857142857142857,0.7142857142857143,0.6499999999999998,0.9374999999999999
deffuant,full_method,4,0,0.42857142857142855,0.9250000000000002,0.6527777777777778,0.8215843126599737,True,0.42857142857142855,0.7857142857142857,0.6772727272727272,0.9249999999999998
deffuant,full_method,4,1,0.21428571428571427,0.8277777777777776,0.6,0.6490320333509884,True,0.21428571428571427,0.8571428571428571,0.49861111111111106,0.8277777777777776
deffuant,full_method,4,2,0.17857142857142858,0.8866666666666667,0.62,1.2454381414646742,True,0.17857142857142858,0.7142857142857143,0.5516666666666666,0.8866666666666665
deffuant,full_method,4,3,0.25,0.8523809523809522,0.5904761904761904,1.05139280497937,True,0.25,0.7892857142857141,0.55983125,0.8523809523809521
deffuant,full_method,4,4,0.25,0.9095238095238096,0.5809523809523809,1.033526408625563,True,0.34732142857142856,0.7080357142857141,0.6325219298245613,0.85
deffuant,full_method,4,5,0.32142857142857145,0.9185185185185186,0.6740740740740742,1.1572439917724342,True,0.39285714285714285,0.7857142857142857,0.6401515151515151,0.8307692307692306
