evaluation_track,scenario,path_id,parameter,direction,source,meso,macro,node_id,scale,onset_time,onset_ci_low,onset_ci_high,observational_lag,response_delay,lag_difference,cumulative_effect,cumulative_effect_raw,significant
primary_discovery,schelling,tol_plus_unhappy_to_move_std_to_global_moved,tolerance,plus,unhappy_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,meso_district_move_fraction_std,meso,0,0.0,0.0,5.0,0.0,-5.0,0.5241375378923637,0.0016722603601834602,True
primary_discovery,schelling,tol_plus_unhappy_to_move_std_to_global_moved,tolerance,plus,unhappy_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,macro_global_moved_fraction,macro,0,0.0,0.0,4.0,0.0,-4.0,0.5992621073123257,0.001618374840357599,True
primary_discovery,schelling,tol_plus_unhappy_to_group_entropy_to_components,tolerance,plus,unhappy_fraction,meso_district_group_entropy_mean,macro_global_connected_components,unhappy_fraction,micro,0,0.0,0.0,,,,0.6810788178937784,0.01636294699872286,True
primary_discovery,schelling,tol_plus_unhappy_to_group_entropy_to_components,tolerance,plus,unhappy_fraction,meso_district_group_entropy_mean,macro_global_connected_components,meso_district_group_entropy_mean,meso,-1,7.0,83.0,1.0,,,-0.257047013783002,-0.01232912730389805,False
primary_discovery,schelling,tol_plus_unhappy_to_group_entropy_to_components,tolerance,plus,unhappy_fraction,meso_district_group_entropy_mean,macro_global_connected_components,macro_global_connected_components,macro,76,1.0,20.0,1.0,,,-0.14391455400425834,-1.1362068965517242,False
primary_discovery,schelling,tol_minus_unhappy_to_unhappy_std_to_components,tolerance,minus,unhappy_fraction,meso_district_unhappy_fraction_std,macro_global_connected_components,unhappy_fraction,micro,0,0.0,0.0,,,,-0.23785181381504725,-0.0057143997445721585,True
primary_discovery,schelling,tol_minus_unhappy_to_unhappy_std_to_components,tolerance,minus,unhappy_fraction,meso_district_unhappy_fraction_std,macro_global_connected_components,meso_district_unhappy_fraction_std,meso,0,0.0,0.0,1.0,0.0,-1.0,-0.27014684098114866,-0.002520030522304366,True
primary_discovery,schelling,tol_minus_unhappy_to_unhappy_std_to_components,tolerance,minus,unhappy_fraction,meso_district_unhappy_fraction_std,macro_global_connected_components,macro_global_connected_components,macro,2,1.0,2.0,1.0,2.0,1.0,1.7000771125404406,13.42212643678161,True
primary_discovery,schelling,tol_minus_unhappy_to_move_std_to_spatial_sim,tolerance,minus,unhappy_fraction,meso_district_move_fraction_std,macro_global_spatial_neighbor_similarity,unhappy_fraction,micro,0,0.0,0.0,,,,-0.23785181381504725,-0.0057143997445721585,True
primary_discovery,schelling,tol_minus_unhappy_to_move_std_to_spatial_sim,tolerance,minus,unhappy_fraction,meso_district_move_fraction_std,macro_global_spatial_neighbor_similarity,meso_district_move_fraction_std,meso,0,0.0,0.0,5.0,0.0,-5.0,-0.20940930647534917,-0.0006681202107377968,True
