evaluation_track,scenario,variant,candidate_edge_count,retained_edge_count,temporal_qualification_rate,stability,lag_support,lag_std,edge_f1,shd,lag_mae,direction_accuracy,reference_metric_reason,mechanism_variant,targeted_mechanism,metric_scope,interpretation
full_discovery,deffuant,mechanism_disabled,28,14,0.5,,,,,,,,not_applicable_without_generated_to_hidden_alignment,disable_backfire,repulsion,overall retained point graph under one targeted mechanism-disabled variant,the targeted propagation pathway may weaken or disappear; unrelated system dynamics are not expected to vanish
full_discovery,schelling,mechanism_disabled,29,20,0.6896551724137931,,,,,,,,not_applicable_without_generated_to_hidden_alignment,disable_homophilic_relocation,homophilic_destination_selection,overall retained point graph under one targeted mechanism-disabled variant,the targeted propagation pathway may weaken or disappear; unrelated system dynamics are not expected to vanish
