scenario,path_id,parameter,direction,hypothesis_group_id,micro,meso,macro,path_temporally_qualified,manipulation_success,micro_significant,meso_significant,macro_significant,micro_meso_class,meso_macro_class,direction_supported,onset_order_supported,path_classification,reason
schelling,dest_plus_dest_sim_to_dest_std_to_spatial_sim,destination_preference,plus,macro_outcome_macro_global_spatial_neighbor_similarity,mean_destination_similarity_movers,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,True,False,False,False,False,manipulation_failure,manipulation_failure,False,False,manipulation_failure,required_micro_manipulation_failed
schelling,dest_plus_dest_sim_to_group_entropy_to_components,destination_preference,plus,macro_outcome_macro_global_connected_components,mean_destination_similarity_movers,meso_district_group_entropy_mean,macro_global_connected_components,True,False,False,False,False,manipulation_failure,manipulation_failure,False,False,manipulation_failure,required_micro_manipulation_failed
schelling,move_minus_moved_to_boundary_std_to_components,move_probability,minus,macro_outcome_macro_global_connected_components,moved_fraction,meso_district_boundary_fraction_std,macro_global_connected_components,True,True,True,False,True,no_stable_downstream_effect,no_stable_downstream_effect,False,True,inconclusive,required_multiscale_response_not_stable
schelling,move_minus_response_to_unhappy_std_to_global_unhappy,move_probability,minus,macro_outcome_macro_global_unhappy_fraction,relocation_response_fraction,meso_district_unhappy_fraction_std,macro_global_unhappy_fraction,True,False,False,True,True,manipulation_failure,manipulation_failure,True,False,manipulation_failure,required_micro_manipulation_failed
schelling,move_plus_moved_to_dest_std_to_spatial_sim,move_probability,plus,macro_outcome_macro_global_spatial_neighbor_similarity,moved_fraction,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,True,True,True,True,True,supported,supported,False,True,contradicted,frozen_response_direction_contradicted
schelling,move_plus_moved_to_neighbour_std_to_global_unhappy,move_probability,plus,macro_outcome_macro_global_unhappy_fraction,moved_fraction,meso_district_neighbour_count_std,macro_global_unhappy_fraction,True,True,True,False,True,no_stable_downstream_effect,no_stable_downstream_effect,False,False,inconclusive,required_multiscale_response_not_stable
schelling,move_plus_response_to_move_std_to_global_moved,move_probability,plus,macro_outcome_macro_global_moved_fraction,relocation_response_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,True,False,False,True,True,manipulation_failure,manipulation_failure,False,True,manipulation_failure,required_micro_manipulation_failed
schelling,tol_minus_unhappy_to_move_std_to_spatial_sim,tolerance,minus,macro_outcome_macro_global_spatial_neighbor_similarity,unhappy_fraction,meso_district_move_fraction_std,macro_global_spatial_neighbor_similarity,True,True,True,True,True,supported,supported,True,True,supported,all_stage3_v2_hard_criteria_supported
schelling,tol_minus_unhappy_to_unhappy_std_to_components,tolerance,minus,macro_outcome_macro_global_connected_components,unhappy_fraction,meso_district_unhappy_fraction_std,macro_global_connected_components,True,True,True,True,True,supported,supported,True,True,supported,all_stage3_v2_hard_criteria_supported
schelling,tol_plus_unhappy_to_boundary_std_to_spatial_sim,tolerance,plus,macro_outcome_macro_global_spatial_neighbor_similarity,unhappy_fraction,meso_district_boundary_fraction_std,macro_global_spatial_neighbor_similarity,False,True,True,True,False,supported,inconclusive,False,False,inconclusive,path_not_temporally_qualified
schelling,tol_plus_unhappy_to_dest_std_to_components,tolerance,plus,macro_outcome_macro_global_connected_components,unhappy_fraction,meso_district_destination_similarity_std,macro_global_connected_components,True,True,True,True,False,supported,no_stable_downstream_effect,True,True,inconclusive,required_multiscale_response_not_stable
schelling,tol_plus_unhappy_to_group_entropy_to_components,tolerance,plus,macro_outcome_macro_global_connected_components,unhappy_fraction,meso_district_group_entropy_mean,macro_global_connected_components,True,True,True,False,False,no_stable_downstream_effect,no_stable_downstream_effect,True,False,inconclusive,required_multiscale_response_not_stable
schelling,tol_plus_unhappy_to_move_std_to_global_moved,tolerance,plus,macro_outcome_macro_global_moved_fraction,unhappy_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,True,True,True,True,True,supported,supported,True,True,supported,all_stage3_v2_hard_criteria_supported
